==========================================================================================
|BRON van NUMMERS en PUNTEN / SOURCE des NUMÉROS et POINTS / SOURCE of NUMBRES and POINTS|
|  Encyclopedie Cotacol, Daniel Gobert & Jean-Pierre Legros, Presses de l'Avenir, Arlon  |
|========================================================================================|
|COTACOL | Naam beklimming | COTACOL | Plaats (Gemeente/PROVINCIE)   |     Datum/Date 1e |
|nrs.    | Nom de la côte  | punten  | Lieu (Commune/PROVINCE        |    beklimming NVZ |
|        | Name of climb   | points  | Place (Municipality/PROVINCE) |  monteé/climb NVZ |
|========================================================================================|
001, Chemin de Lausprelles,068 Acoz (Gerpinnes/HN)
002,Bois de Wagne               317 Agimont (Hastière/NM)
003   Côte d'Oignies              077 Aiseau (Aiseau-Presles/HN)
004   Spinette                    140 Aisemont (Fosses-la-Ville/NM)
031   La Heid de Mael II          242 Angleur [+Tilff] (Liège/LG)        960918
032   Ferme de Grange             186 Anhée (NM)
033   Côte de Heneumont           135 Anhée (NM)
034   Côte de la Chapelle Piérard 069 Léglise [Fôret d'Anlier/LX]        960720 
035   Côte du la Croix du Canard  066 Anlier (Habay/LX)
036   Côte de Martelange          125 Anlier (Habay/LX)
037   Côte de Misbourg            061 Léglise [Fôret d'Anlier/LX]        960720 
038   Col du Marly                097 Annevoie-Rouillon (Anhée/NM)       960728
039   Côte d'Hestreu              136 Anthisnes (LG)                     960518
040   La Tailette                 053 Anvaing (Frasnes-lez-Anvaing/HN)   110805
041   Holstraat                   049 Anzegem (WV)                       011120
042   Côte de Besinne             106 Arbre [Besinne](Profondeville/NM)  990916
043   Le Stampia                  186 Arbre [Besinne](Profondeville/NM)  960728
044   Cote de Sarolay             114 Argenteau (Visé/LG)
045   Hirzenberg                  101 Arlon (LX)
046   Côte de Petite Gaichel      084 Arlon (LX)                         060725
047   Haut-Baty                   076 Arsimont (Sambreville/NM)
048   Côte Bois du Ri Bellerose   149 Arville (Saint-Hubert/LX)          990417
049   Côte du Cahoti              071 Assesse (NM)                       100919
050   Côte du Bois d'Athus        110 Athus (Aubagne/LX)
051   Chemin de la Cornette       106 Auby-sur-Semois (Bertrix/LX)
052   Côte de Cugnon              191 Auby-sur-Semois (Bertrix/LX)       970713
053   Côte du Maka                200 Auby-sur-Semois (Bertrix/LX)       960824
054   Le Rominet                  107 Auvelais (Sambreville/NM)
055   Côte d'Awenne-Est           107 Awenne (Saint-Hubert/LX)
056   Côte d'Awenne-Ouest         140 Awenne (Saint-Hubert/LX)
057   Bois des Moines             127 Awirs (Flémalle/LG)                120517
058   En Cowa                     104 Awirs (Flémalle/LG)                080608
059   Côte des Nonnes             151 Awirs (Flémalle/LG)                120517
060   Côte de la Reine            143 Awirs (Flémalle/LG)
061   Rue Téwée                   168 Awirs (Flémalle/LG)   
062   Chambralles                 230 Aywaille (LG)                      970608
063   Côte de Kin                 176 Aywaille (LG)                      940805
064   Côte de Niaster             153 Aywaille (LG)                      010617
065   Côte de Septroux            182 Aywaille (LG)                      070520
066   Côte de la Gate             049 Baileux (Chimay/HN)
067   Grand Route de Rocroi       053 Baileux (Chimay/HN)
068   Côte Saint-Antoine          139 Barvaux (Durbuy/LX)
069   Ancienne Barrière           139 Basse-Bodeux [+Rahier](3-Ponts/LG) 960518 
070   Côte de Haut-Bodeux         188 Basse-Bodeux (Trois-Ponts/LG)      950912
071   La Levée                    218 Basse-Bodeux [+Rahier](3-Ponts/LG) 951010
072   Les Monts                   112 Basse-Bodeux (Trois-Ponts/LG)      980919
073   Basse-Voie                  097 Bas-Oha (Wanze/LG)                 950412
074   Rampe d'Oha [Rue A.David]   110 Bas-Oha (Wanze/LG)                 950412
075   Fays de José                077 Battice (Herve/LG)                 940806
076   Côte de Beausaint           114 Beausaint (La Roche/LX)            950902
077   Vieille Route de Beausaint  214 Beausaint (La Roche/LX)            980728
078   Rue de la Pompe             135 Beez (Namur/NM)                    000516
079   Côte de Beffe               207 Beffe (Rendeux/LX)                 950902
080   Wijndries                   053 Bekkevoort (VB)                    950205
081   Rue Nélis                   114 Belgrade (Namur/NM)
082   La Voie des Prés            108 Bellaire (Beyne-Heusay/LG)
083   Côte de Ligneuville         165 Bellevaux-Ligneuville (Malmédy/LG) 960518
084   Côte de Ben-Ahin            146 Ben-Ahin (Huy/LG)                  961014
085   Côte de Gives               101 Ben-Ahin [+Gives](Huy/LG)          010817
086   Les Ruelles                 241 Ben-Ahin [+Gives](Huy/LG)          961014
087   Côte Saint-Léonard          213 Ben-Ahin (Huy/LG)                  000611
088   Côte de Solières            093 Ben-Ahin [+Gives](Huy/LG)          050924
089   Rue de Cousolre             061 Bersillies-L'Abbaye (Erquelinnes/HN)
090   Schapenheide [Bertembos]    044 Bertem (VB)                        950105
091   Chêne Fleurette             150 Bertrix (LX)
092   Côte de la Forêt            121 Bertrix (LX)                       990612
093   La Goutelle des Morceaux    169 Bertrix (LX)                       960824
094   La Goutelle du Wé           157 Bertrix (LX)
095   Ferme Libert                311 Bévercé (Malmédy/LG)               950912
096   Côte de Lamonriville        185 Bévercé (Malmédy/LG)
097   Côte de Meiz                139 Bévercé (Malmédy/LG)
098   Côte d'Otaimont             159 Bévercé (Malmédy/LG)
099   Côte de Ronxhi              185 Bévercé (Malmédy/LG)               000604
100   Tros Marets                 184 Bévercé (Malmédy/LG)               000604
101   Côte de l'Étang-Vivier      098 Biesme (Mettet/NM)                 010813
102   Boyau de Biez/Champ du Curé 089 Biez (Grez-Doiceau/BW)             950104
103   Côte de Fraiture            087 Bihain (Vielsalm/LX)               020525
104   Katteberg                   049 Bilzen (LM)                        020731
105   La Fontaine de la Jouvence  075 Binche (HN)
106   Côte de Bioul               139 Bioul (Anhée/NM)                   950914
107   Mossiat                     212 Bioul (Anhée/NM)                   990916
108   Côte de Warnant             135 Bioul [+Warnant](Anhée/NM)         960728
109   Côte des Quatre Chemins     134 Blaimont (Hastière/NM)             950730
110   Thier Bégot                 073 Boirs (Bassenge/LG)                020804
111   Col de la Charlerie         096 Bois-de-Villers (Profondeville/NM) 021020
112   Tienne Hinraut              144 Bois-de-Villers (Profondeville/NM) 950914
113   Côte de Noblehaye           084 Bolland (Herve/LG)                 990813
114   Thier Fouarge               134 Bolland (Herve/LG)                 990813
115   Côte Boncelles[Sart-Tilman] 130 Boncelles [+Tilff](Seraing/LG)     960918
116   Côte de Cornillon           136 Boncelles (Seraing/LG)
117   Côte de Bonnert             093 Bonnert (Arlon/LX)
118   Route des Trois Frères      146 Bonneville (Andenne/NM)            980820
119   De Burchtheuvel             067 Borgloon (LM)                      990606
120   Côte de Borlon              102 Borlon (Durbuy/LX)                 960518
121   Le Maultienne               079 Bossière (Gembloux/NM)             970401
122   Côte de Chamborgneau        118 Bouffioulx (Châtelet/HN)
123   Côte du Hameau Saint-Blaise 080 Bouffioulx (Châtelet/HN)           120725
124   Rue de Balart               136 Bouge (Namur/NM)                   000516
125   Rue de Coquelet             112 Bouge (Namur/NM)                   970627
126   Route du Christ             172 Bouillon (LX)                      990612
127   La Ramonette                178 Bouillon (LX)
128   Vieille Route France        268 Bouillon (LX)                      960824
129   La Voie Jocquée             161 Bouillon (LX)                      970930
130   Côte de la Trappe           044 Bourlers (Chimay/HN)               010824
131   Côte de Bourseigne          147 Bourseigne-Neuve (Gedinne/NM)      970925
132   Les Quatre Pavés            054 Boussu (HN)                        120724
133   Côte de Meez                161 Bouvignes-sur-Meuse (Dinant/NM)
134   Thier du Mont               134 Bra (Lierneux/LG)                  970608
135   Rue Drabe                   094 Braine-le-Château (BW)             990328
136   Côte de la Grande Bruyère   090 Braine-le-Château (BW)             000424
137   La Sablière                 097 Braine-le-Château (BW)             990328
138   Côte Sainte-Croix           114 Braine-le-Château (BW)             990328
139   Les Gaudys                  101 Braine-le-Comte (HN)               010820
140   Tier du Mont                085 Bras (Libramont-Chevigny/LX)
141   Côte de la Prise            093 Brûly (Couvin/NM)
142   Saule Pendu                 093 Buissenal (Frasenes^lez-Anvaing/HN)960526
143   Kesterbeekbos               079 Buizingen (Halle/VB)               950420
144   Steigung von Moderscheid    126 Büllingen (LG)
145   Côte de la Croix-Renkin     104 Bure (Tellin/LX)
146   Fonds des Maçons            108 Carnières (Morlanwelz/HN)
147   Les Grands Trieux           102 Carnières (Morlanwelz/HN)
148   Le Grand Virage             100 Celles (Houyet/NM)                 960901
149   Malavisée                   132 Celles (Houyet/NM)
150   Plantis du Vivroule         074 Celles / Gendron (Houyet/NM)       950730
151   Côte du Bois de Cerfontaine 080 Cerfontaine (NM)                   990808
152   Côte de Ferrières           086 Ceroux-Mousty (Ottignies/BW)       960318
153   Les Cougis                  151 Chanly (Wellin/LX)
154   Côte de Bouxhmont           087 Charneux (Herve/LG)                980501
155   Côte de Charneux/Warrimont  107 Charneux (Herve/LG)                980501
156   Côte de Pironchamps         105 Châtelineau (Châtelet/HN)          120725
157   Côte de la Casmatrie        131 Chaudfontaine (LG)
158   Fond des Cris               150 Ninane (Chaudfontaine/LG)          960918
159   Chemin de la Lemmetrie      194 Chaudfontaine (LG)
160   La Voie des Chars           244 Ninane (Chaudfontaine/LG)          960918
161   Rue des Courteaux           133 Chenée (Liège/LG)
162   Côte de Gaillarmont         111 Chenée (Liège/LG)
163   Aux Pieds Roux              151 Chenée (Liège/LG)
164   La Vieille Voie             158 Cheratte (Visé/LG)
165   Côte de Bierleux-Bas        169 Chevron (Stoumont/LG)              010617
166   Côte de Bierleux-Haut       200 Chevron (Stoumont/LG)              010804
167   Les Forges-Chevron          183 Chevron (Stoumont/LG)              951010
168   Habiemont                   184 Chevron (Stoumont/LG)
169   Côte d'Oufny                175 Chevron (Stoumont/LG)              951010
170   Côte du Petit-Liry          103 Chiny (LX)
171   Côte du Terme               110 Chiny (LX)                         990612
172   Côte de Rogissart           089 Clabecq (Tubize/BW)                990328
173   Aux Houx                    118 Clermont-sous-Huy (Engis/LG)       030727
174   Côte de Niharmont           093 Clermont-sous-Huy (Engis/LG)       030727
175   Sart Malmy                  185 Clermont-sous-Huy (Engis/LG)       030727
176   Côte de Fraiture            113 Fraiture (Sprimont/LG)             950806
177   Geromont I                  124 Comblain-au-Pont (LG)
178   Geromont II                 166 Comblain-au-Pont (LG)
179   Côte d'Oneux                172 Comblain-au-Pont (LG)              940804
180   Au-delà les Monts           139 Comblain-Fairon (Hamoir/LG)
181   Rue Vieille Chera           139 Comblain-Fairon (Hamoir/LG)
182   Côte de Corbion-Nord-Ouest  180 Corbion (Bouillon/LX)              990612
183   La Rue Villers              097 Couillet (Charleroi/HN)            990807
184   Taille du Vivier            128 Courrière (Assesse/NM)             960725
185   Côte de la Ferme de Sart    062 Court-Saint-Etienne (BW)           960318
186   Côte de Noirhat             079 Court-Saint-Etienne (BW)           960318
187   La Roche Sainte-Catherine   081 Court-Saint-Etienne (BW)           960318
188   Fonds des Malades           125 Couthuin (Héron/LG)                010817
189   Vieux-Tave                  138 Coutisse (Andenne/NM)              010817
190   Le Chalet Courthéoux        168 Couvin (NM)
191   Côte de la Sapinière        135 Couvin (NM)
192   Le Tienne de Boussu         081 Couvin (NM)
193   Le Tienne du Palyjat        074 Couvin (NM)
194   Côte d'Inzefy               106 Crupet (Assesse/NM)
195   Col de Ronchinne            099 Crupet (Assesse/NM)                970627
196   Sur le Tienne               167 Crupet (Assesse/NM)
197   Côte des Minières           186 Cugnon (Bertrix/LX)                970930
198   Le Ton'Haye                 129 Cugnon (Bertrix/LX)
199   Côte de Custinne            067 Custinne (Houyet/NM)
200   Petit Thierfalise           096 Custinne (Houyet/NM)
201   Côte de la Guingette        156 Dampicourt (Rouvroy/LX)
202   Côte de Montquintin-Nord    121 Dampicourt (Rouvroy/LX)
203   Côte de Montquintin-Nord-Est187 Dampicourt (Rouvroy/LX)
204   Côte de Montquintin-Sud     179 Dampicourt (Rouvroy/LX)
205   Côte de Montquintin-Sud-Est 164 Dampicourt (Rouvroy/LX)
206   Côte de Daverdisse          145 Daverdisse (LX)                    970821
207   Côte d'Anseremme            078 Anseremme (Dinant/NM)              960725
208   Charrau de Neffe            136 Dinant (NM)
209   Charreau de Bonsecours      164 Dinant (NM)
210   Le Charreau de Dréhance     176 Dinant (NM)                        000520
211   Ferme d'En Haut[Trou Chien] 123 Dinant (NM)                        000528
212   Côte de Froide Vau          153 Dinant (NM)                        000520
213   Montagne de la Croix        300 Dinant (NM)                        950914
214   Rapaille                    212 Dinant (NM)                        000520
215   Côte Saint-Jacques          117 Dinant (NM)                        000520
216   Taille Thérèse [Griplotte]  076 Dion-le-Mont (Chaumont-Gistoux/BW) 950104
217   La Haute Saurée             102 Dison (LG)                         080629
218   Le Mont                     130 Dison (LG)                         080629
219   Montagne de l'Invasion      151 Dison (LG)
220   Rue Tapeu                   125 Dison (LG)                         080629
221   Val Fassotte                167 Dison (LG)                         080629
222   Côte de Dochamps-Nord       166 Dochamps (Manhay/LX)               950918
223   Côte de Dochamps-Ouest      258 Dochamps (Manhay/LX)               950918
224   Côte de Lamormenil          137 Dochamps + Lamormenil (Manhay/LX)  950918
225   Côte [du Terme] de Dohan    178 Dohan (Bouillon/LX)                960824
226   Côte de Dolembreux          124 Dolembreux (Sprimont/LG)           960918
227   Chansin-Sud                 169 Dorinne (Yvoir/NM)                 960725
228   Mur de Durbuy               095 Durbuy (LX)                        961014
229   Chansin-Nord                131 Durnal (Yvoir/NM)                  950914
230   Côte de Durnal              136 Durnal + Crupet (Yvoir/NM)         970627
231   Li Voye des Monnis          120 Durnal (Yvoir/NM)
232   Beerselstraat [Dikke Mier]  094 Dworp (Beersel/VB)                 950420
233   Bruine Put                  090 Dworp (Beersel/VB)                 950420
234   Mont de Vaux                063 Ebly (Léglise/LX) 
235   Mont d'Ellezelles-Sud       058 Ellezelles (HN)                    011120
236   Côte du Paradis [Bruyère]   069 Ellezelles (HN)                    990822
237   Le Sartay                   128 Embourg (Chaudfontaine/LG)
238   Thier des Critchons         152 Embourg (Chaudfontaine/LG)
239   Les Fagnes                  073 Engis (LG)
240   Rue Reine Astrid            081 Engis (LG)                         990815
241   Thier Oulet                 176 Engis (LG)
242   Le Trokay                   167 Engis (LG)
243   Chemin du Haras             193 Ensival (Verviers/LG)
244   Thier des Hazeilles         167 Erezée (LX)                        980728
245   Côte d'Avionpuits           125 Esneux (LG)
246   Côte d'Avister              216 Esneux (LG)                        960518
247   Le Mur de Strivay           112 Esneux (LG)
248   Rond Chêne                  146 Esneux (LG)
249   Côte de l'Eau Rouge         249 Etalle (LX)
250   Taaienberg                  131 Etikhove (Maarkedal/OV)            980404
251   Brandberg                   104 Eupen (LG)                         011116
252   Spitzberg                   114 Eupen (LG)                         990813
253   Les Chavées                 075 Evelette (Ohey/NM)                 050918
254   Côte de Libois              065 Evelette (Ohey/NM)                 050918
255   Charrau d'Hayettes          120 Falaën (Onhaye/NM)                 950730
256   Côte de Foy                 112 Falaën (Onhaye/NM)                 960727
257   Côte de Sosoye              132 Falaën (Onhaye/NM)
258   Rue de la Montagne          108 Falisolle (Sambreville/NM)
259   Côte Marie-Thérèse          079 Falmignoul (Dinant/NM)             970925
260   Rue du Petit-Try            142 Farciennes (HN)                    010825
261   Trou Renard                 130 Faulx-les-Tombes (Gesves/NM)       011007
262   Côte de Hotte               092 Fauvillers (LX)
263   Route des Ardennes          131 Felenne (Beauraing/NM)             970925
264   Côte du Moulin d'Olenne     147 Felenne (Beauraing/NM)             970925
265   La Fagnoul                  136 Ferrières (LG)                     070520
266   Côte St-Roch/Rouge Minière  114 Ferrières (LG)                     970608
267   Le Trou                     167 Ferrières (LG)                     010617
268   Vieux Thier                 206 Ferrières (LG)                     050924
269   Côte de Filot               112 Filot (Hamoir/LG)                  980611
270   Le Stockai                  110 Flamierge (Bertogne/LX)            960720
271   La Flache                   105 Flawinne +Floriffoux (Floreffe/NM) 960728
272   Le Fond Barbette            104 Flawinne (Floreffe/NM)             951020
273   Tienne Pouille              121 Flawinne (Floreffe/NM)
274   Tienne Stassin              199 Flawinne (Floreffe/NM)             951020
275   Sente de la Traverse        221 Flawinne (Floreffe/NM)             951020
276   Côte du Bois Donnay         178 Flémalle-Grande (Flémalle/LG)
277   Chemin du Baimont           175 Flémalle-Haute (Flémalle/LG)
278   Côte de Chokier             113 Flémalle-Haute (Flémalle/LG)
279   Côte du Fort                223 Flémalle-Haute (Flémalle/LG)
280   Chemin de Goiha             185 Flémalle-Haute (Flémalle/LG)
281   Thier des Trixhes           123 Flémalle-Haute (Flémalle/LG)
282   Côte de Fléron              094 Fléron (LG)
283   Heids des Chênes            177 Fléron (LG)
284   Côte du Bois de la Houppe   075 Flobecq (HN)                       960526
285   Hurdumont                   106 Flobecq (HN)                       960818
286   Les Plachettes              106 Flobecq (HN)                       960822
287   Côte de la Kérité           144 Flône (Amay/LG)
288   Côte de la Haute-Marlagne   074 Floreffe (NM)                      951020
289   Ferme de Robionoy           124 Floreffe (NM)
290   Côte de Sovimont            114 Sovimont (Floreffe/NM)             970627
291   Tienne Jean-Pierre          126 Sovimont (Floreffe/NM)             010513
292   Tienne Saint-Roch           163 Floreffe (NM)
293   La Pirée                    127 Florenville (LX)
294   Mysteriestraat              075 Vorst/Forest (BRU)                 970302
295   La Chavée                   213 Forrières (Nassogne/LX)
296   Le Rabot                    096 Fosses-la-Ville (NM)
297   Rue sur Steppes             301 Fraipont (Trooz/LG)                950922
298   Côte de Trasenster-Ouest    221 Fraipont (Trooz/LG)                120429
299   Côte de Neuville            190 Francorchamps (Stavelot/LG)        951110
300   Rue du Calvaire             115 Franière (Floreffe/NM)             990910
301   Trémouroux                  135 Franière (Floreffe/NM)             951020
302   Le Bourliquet               114 Frasnes-lez-Anvaing (HN)           960526
303   Côte du Dieu des Monts      057 Frasnes-lez-Anvaing (HN)           110805
304   L'Escalette [Bois Lefebre]  052 Frasnes-lez-Anvaing (HN)           000730
305   Le Gauquier                 058 Frasnes-lez-Anvaing (HN)           960526
306   Le Rossignol [Hameau Papins]124 Frasnes-lez-Anvaing (HN)           960526 
307   La Longue Haile             080 Frasnes-lez-Couvain (Couvin/NM)
308   Côte du Pont Alsort         069 Froidchapelle (HN)
309   Côte de Froidfontaine       118 Froidfontaine (Beauraing/NM)
310   Côte de Gembes              136 Gembes (Daverdisse/LX)             970821
311   Côte Trois Frontières       079 Gemmenich (Plombières/LG)          980501
312   Muur van Geraardsbergen     171 Geraardsbergen (OV)                980322
313   Oudeberg                    253 Geraardsbergen (OV)                000730
314   Côte d'Hastière             111 Gérin (Onhaye/NM)
315   Tienne Saint-Martin         137 Gesves (NM)                        011007
316   Val d'Houyou                103 Gesves (NM)
317   Fond Marie                  072 Gimnée / Vaucelles (Doische/NM)    960727
318   Côte de Gochenée            120 Gocheneé (Doische/NM)              960726
319   Fonds de la Biche           150 Godinne (Yvoir/NM)                 950914
320   Tienne de Mont              174 Godinne (Yvoir/NM)                 950914
321   Les Trys                    154 Godinne (Yvoir/NM)                 950914
322   Les Forges I                132 Gomzé-Andoumont (Sprimont/LG)      950922
323   Les Forges II               111 Gomzé-Andoumont (Sprimont/LG)      120429
324   Le Mont Coupé               041 Gottignies (Le Roeulx/HN)
325   L'M de Bomerée              068 Gozée (Thuin/NM)                   990808
326   Rue de la Colline           128 Grâce-Hollogne (LG)                040531
327   Côte de l'Amante            129 Grandmenil (Manhay/LX)             960905
328   Côte du Moulin de Fosse     154 Grandmenil / La Fosse (Manhay/LX)  950918
329   Côte du Trou du Loup        094 Grandmenil (Manhay/LX)             980728
330   Mont-le-Soie                215 Grand-Halleux (Vielsalm/LX)        950506 
331   Les Quartiers               130 Grand-Halleux (Vielsalm/LX)        950806
332   Tienne du Golf              059 Grez-Doiceau (BW)                  950104
333   La Barrière de Grune        152 Grune (Nassogne/LX)                990417
334   Côte du Moulin de Grune     105 Grune (Nassogne/LX)
335   Chemin de Mormont           131 Grupont (Tellin/LX)
336   Côte du Chalet              231 Halanzy (Aubagne/LX)
337   Sur la Commune              161 Halleux (La Roche/LX)
338   Tier Boa                    176 Halleux (La Roche/LX)              990417
339   Côte de Haut-Bois           127 Haltinne (Gesves/NM)               080921
340   Tour de Muache              133 Haltinne + Strud (Gesves/NM)       980719
341   Le Trou Maroit              070 Hamois (NM)                        080621
342   Côte d'Inzefin              107 Hampteau (Rendeux/LX)
343   Le Point d'Arrêt            091 Ham-sur-Heure (Ham-s-H-Nalinnes/HN)
344   Côte des Trois Arbres       071 Ham-sur-Heure (Ham-s-H-Nalinnes/HN)120725
345   Côte d'Ambly                102 Hargimont (Marche-en-Famenne/LX)   970820 
346   Côte du Bois de Guéville    213 Harnancourt (RouvroyLX)
347   Bois de Harre               167 Harre (Manhay/LX)                  010804
348   Deux-Rys                    182 Harre (Manhay/LX)
349   Côte de Fays                146 Harre (Manhay/LX)
350   Roche à Frêne               260 Harre (Manhay/LX)                  960518
351   Le Trou Bouhay              100 Harre (Manhay/LX)
352   Le Fi                       129 Harzé (Aywaille/LG)                951010
353   Côte de Havelange           124 Harzé (Aywaille/LG)                990608
354   Warmonfosse                 171 Harzé (Aywaille/LG)                970525
355   Côte d'Insemont             131 Hastière-Lavaux (Hastière/NM)      960726
356   Tienne du Baron             158 Hastière-Lavaux (Hastière/NM)      070722
357   Tier du Pendu               108 Hatrival (Saint-Hubert/LX)         960720
358   Côte de Haut-Fays           115 Haut-Fays (Daverdisse/LX)
359   Côte de la Ferme du Pré     070 Haut-Ittre (Ittre/BW)              000424
360   Côte de Haut-le-Wastia      085 Haut-le-Wastia (Anhée/NM)          040520
361   Côte d'Ossogne              120 Havelange (NM)                     050918
362   Côte du Réservoir           097 Heer (Hastière/NM)                 960901
363   Berg                        043 Heist-op-den-Berg (AN)             950408
364   Steigung von Hepscheid      118 Heppenbach (Amel/LG)
365   Schwalert                   116 Heppenbach (Amel/LG)
366   Côte de l'Antrogne          154 Herbeumont (LX)
367   Le Terme                    124 Herbeumont (LX)
368   Côte de Hermalle-sous-Huy   130 Hermalle-sous-Huy (Engis/LG)
369   Le Stuval                   195 Hermeton-sur-Meuse (Hastière/NM)   070722
370   Thier d'Amry                095 Heure-le-Romain (Oupeye/LG)        020804
371   Col du Rideux-Est           205 Heyd (Durbuy/LX)                   950902
372   Col du Rideux-Nord I        282 Heyd (Durbuy/LX)                   960905
373   Col du Rideux-Nord II       268 Heyd (Durbuy/LX)                   961014
374   Col du Rideux-Nord Est      155 Heyd (Durbuy/LX)                   980728
375   Col du Rideux-Sud           198 Heyd (Durbuy/LX)                   961014
376   Côte d'Hives                173 Hives (La Roche/LX)                950902
377   Côte d'Hodister             148 Hodister (Rendeux/LX)              980728
378   Kauterhof                   057 Hoegaarden (VB)                    940807
379   Felix Sohiestraat/Solheide  082 Hoeilaart (VB)                     941200
380   De Trepkens                 060 Hoeilaart (VB)                     961215
381   Côte du Burnon              090 Hollange (Fauvillers/LX)
382   Côte de Sainlez             098 Hollange (Fauvillers/LX)
383   Chartreuzenberg             053 Holsbeek (VB)                      941200
384   Meesberg-Noord              061 Holsbeek (VB)                      941200
385   Côte de la Vièrge de Werpin 157 Hotton (LX)
386   Sur Waha                    182 Menil-Favay (Hotton/LX)            990417
387   Côte du Coron Grand-Peine   058 Houdeng-Aimeries (La Louvière/HN)
388   Rue Saint-Roch              219 Houffalize (LX)
389   Corinhez                    090 Housse (Blégny/LG)
390   Roeselberg                  056 Houwaart (Tielt-Winge/VB)          950205
391   Route de Givet              111 Houyet (NM)                        020824
392   Côte de Herhet              109 Houyet (NM)
393   Rue Chénia                  092 Huccorgne (Wanze/LG)               950412
394   Smeysberg                   095 Huldenberg (VB)                    940900
395   Côte de Hulsonniaux         101 Hulsonniaux (Houyet/NM)            970925
396   Côte de Cocrai              119 Humain (Marche-en-Famenne/LX)      970820
397   Côte de Humain              087 Humain (Marche-en-Famenne/LX)
398   La Chantelière              114 Huy (LG)                           000611
399   Mont Falise-Nord            106 Huy (LG)                           010817
400   Mont Falise-Sud-Ouest       171 Huy (LG)                           000618
401   La Montagne Corroy          217 Huy (LG)                           030927
402   Mur de Huy                  224 Huy (LG)                           941000
403   Route de la Sarte           153 Huy (LG)                           950501
404   Thier des Malades           120 Huy (LG)                           000611 
405   Kuiperenberg [Keperenberg]  048 Itterbeek (Dilbeek/VB)             980329
406   Côte de Coquiamont          087 Ittre (BW)                         000424
407   Côte de Rosémont            085 Ittre (BW)                         000424
408   Côte de la Mouline          123 Izel (Chiny/LX)
409   Côte d'Ozo                  139 Izier (Durbuy/LX)
410   Côte de la Baraque Michel-E 166 Jalhay (LG)                        961008
411   Baraque Michel-Nord         336 Jalhay (LG)                        950912
412   Côte Barrage de la Gileppe  109 Jalhay (LG)                        961008
413   Côte de Jalhay              123 Jalhay (LG)                        011116
414   Côte de Surister            106 Jalhay (LG)                        961008
415   Les Hayettes                085 Jamioulx (Ham-s-H-Nalinnes/HN)
416   Rue Saint-Pierre            069 Jauchelette (Jodoigne/BW)          950412
417   Sur les Tiennes             118 Javingue (Beauraing/NM)
418   Côte du Bois Saint-Lambert  163 Jehay-Bodegnée (Amay/LG)
419   La Chausseé Romaine         126 Jehay-Bodegnée (Amay/LG)
420   Côte du Gerny               114 Jemelle (Rochefort/NM)             980628
421   Thier de l'Abbaye           105 Jemelle (Rochefort/NM)             970824
422   Côte du Jolibois-Ouest      163 Jemeppe-sur-Meuse (Seraing/LG)     040531
423   Côte du Jolibois-Sud        165 Jemeppe-sur-Meuse (Seraing/LG)     040531
424   Chemin de la Fontaine       108 Jemeppe-sur-Sambre (HN)            020609
425   Les Ornias                  088 Jemeppe-sur-Sambre (HN)            020609
